Date,Adj Close
1996/6/14,1.977027
1996/6/17,1.849017
1996/6/18,1.823415
1996/6/19,1.846173
1996/6/20,1.806347
1996/6/21,1.817726
1996/6/24,1.860396
1996/6/25,1.792125
1996/6/26,1.792125
1996/6/27,1.743765
1996/6/28,1.749454
1996/7/1,1.752299
1996/7/2,1.797814
1996/7/3,1.843328
1996/7/4,1.86893
1996/7/5,1.851861
1996/7/8,1.814882
1996/7/9,2.019696
1996/7/10,2.275713
1996/7/11,2.196064
1996/7/12,2.30985
1996/7/15,2.247267
1996/7/16,2.343985
1996/7/17,2.218821
1996/7/18,2.358208
1996/7/19,2.30985
1996/7/22,2.324073
1996/7/23,2.386654
1996/7/24,2.557333
1996/7/25,2.449237
1996/7/26,2.452081
1996/7/29,2.61707
1996/7/30,2.745079
1996/7/31,2.673963
1996/8/1,2.668274
1996/8/2,2.474839
1996/8/5,2.602848
1996/8/6,2.585779
1996/8/7,2.61707
1996/8/8,2.756458
1996/8/9,2.745079
1996/8/12,2.816195
1996/8/13,2.745079
1996/8/14,2.745079
1996/8/15,2.651206
1996/8/16,2.753614
1996/8/19,2.65974
1996/8/20,2.631294
1996/8/21,2.70241
1996/8/22,2.645517
1996/8/23,2.61707
1996/8/26,2.70241
1996/8/27,2.901535
1996/8/28,2.98403
1996/8/29,3.149018
1996/8/30,3.265649
1996/9/2,3.257115
1996/9/3,3.322542
1996/9/4,3.461929
1996/9/5,3.214446
1996/9/6,3.129106
1996/9/9,2.986874
1996/9/10,2.833263
1996/9/11,2.895845
1996/9/12,2.873088
1996/9/13,2.92998
1996/9/16,3.026699
1996/9/17,3.126261
1996/9/18,2.893001
1996/9/19,2.901535
1996/9/20,2.907224
1996/9/23,2.92998
1996/9/24,2.924292
1996/9/25,3.043767
1996/9/26,3.029544
1996/9/27,3.086437
1996/9/30,null
1996/10/1,null
1996/10/2,null
1996/10/3,3.092125
1996/10/4,3.055146
1996/10/7,3.089282
1996/10/8,3.242892
1996/10/9,3.069369
1996/10/10,3.157553
1996/10/11,3.114882
1996/10/14,3.185999
1996/10/15,3.393657
1996/10/16,3.470463
1996/10/17,3.771996
1996/10/18,3.413571
1996/10/21,3.552958
1996/10/22,3.314008
1996/10/23,3.342455
1996/10/24,3.368055
1996/10/25,3.339609
1996/10/28,3.498909
1996/10/29,3.436328
1996/10/30,3.350989
1996/10/31,3.442016
1996/11/1,3.319696
1996/11/4,3.385123
1996/11/5,3.800442
1996/11/6,3.629763
1996/11/7,3.484687
1996/11/8,3.513133
1996/11/11,3.638297
1996/11/12,3.607007
1996/11/13,3.686656
1996/11/14,3.740705
1996/11/15,3.754927
1996/11/18,3.951207
1996/11/19,4.096285
1996/11/20,4.466088
1996/11/21,4.224293
1996/11/22,4.403506
1996/11/25,4.400661
