Date,Open,High,Low,Close,Adj Close,Volume
2010/5/18,7.5,7.575,7.117307,7.19423,6.594212,36187840
2010/5/19,7.403846,7.913461,7.336538,7.913461,7.253457,46405320
2010/5/20,7.942307,8.267307,7.730769,7.903846,7.244643,52592800
2010/5/21,7.496153,8.69423,7.461538,8.69423,7.969107,45559800
2010/5/24,8.771153,9.563461,8.759615,9.326923,8.549033,42864640
2010/5/25,9.326923,9.655769,9.025,9.275,8.50144,42797040
2010/5/26,9.184615,9.378846,8.942307,9.115384,8.355137,26554320
2010/5/27,9.117307,9.563461,8.867307,9.423076,8.637166,35186320
2010/5/28,9.307692,9.336538,8.801923,8.880769,8.140089,35859200
2010/5/31,9.082692,9.730769,9.001923,9.032692,8.279341,34460920
2010/6/1,9,9.307692,8.557692,9.05,8.295206,24945440
2010/6/2,9.015384,9.955769,8.740384,9.934615,9.106042,37729120
2010/6/3,9.807692,10.284615,9.65,9.748076,8.935061,31075720
2010/6/4,9.65,10.096153,9.517307,10.007692,9.173023,18868200
2010/6/7,9.807692,10.480769,9.798076,10.259615,9.403934,22700080
2010/6/8,10.192307,10.365384,9.942307,10.021153,9.185365,17388280
2010/6/9,10.021153,10.228846,9.76923,9.892307,9.067263,17804800
2010/6/10,9.807692,10.361538,9.807692,10.176923,9.328138,19661720
2010/6/11,10.201923,10.288461,9.915384,9.961538,9.130719,14928680
2010/6/15,9.961538,9.961538,9.961538,9.961538,9.130719,0
2010/6/17,10.038461,10.173076,9.015384,9.059615,8.30402,24500320
2010/6/18,9.015384,9.142307,8.728846,8.86923,8.129513,14836120
2010/6/21,8.846153,9.228846,8.576923,9.190384,8.423881,12098320
2010/6/22,9.096153,9.525,9.038461,9.305769,8.529643,13839280
2010/6/23,9.209615,9.403846,9.038461,9.26923,8.496151,9614800
2010/6/24,9.384615,9.509615,9.259615,9.365384,8.584287,9854000
2010/6/25,9.26923,9.26923,8.909615,9.06923,8.312832,7320040
2010/6/28,9.015384,9.09423,8.659615,8.711538,7.984972,7013240
2010/6/29,8.75,8.836538,8.11923,8.136538,7.457928,10468120
2010/6/30,7.982692,8.09423,7.836538,8.009615,7.341591,7371000
2010/7/1,8.057692,8.192307,7.938461,8.005769,7.338066,8207680
2010/7/2,7.940384,8.013461,7.655769,7.925,7.264034,9075040
2010/7/5,7.782692,8.053846,7.609615,7.978846,7.313389,8012160
2010/7/6,7.99423,8.486538,7.884615,8.24423,7.556639,9401600
2010/7/7,8.286538,8.617307,8.286538,8.442307,7.738195,8713120
2010/7/8,8.442307,8.442307,8.442307,8.442307,7.738195,0
2010/7/9,8.592307,8.673076,8.230769,8.588461,7.87216,12085840
2010/7/12,8.557692,8.748076,8.380769,8.728846,8.000835,9227920
2010/7/13,8.592307,8.784615,8.405769,8.726923,7.999074,7988760
2010/7/14,8.7,8.8,8.415384,8.480769,7.77345,7704840
2010/7/15,8.440384,8.538461,8.076923,8.098076,7.422675,6671600
2010/7/16,8.076923,8.16923,7.903846,8.123076,7.44559,5753800
2010/7/19,8.038461,8.265384,7.980769,8.240384,7.553114,4482920
2010/7/20,8.236538,9.065384,8.236538,9.01923,8.267002,15915120
2010/7/21,8.875,9.15,8.875,8.99423,8.244086,14722760
2010/7/22,8.653846,9.109615,8.598076,8.998076,8.247614,19307080
2010/7/23,8.873076,8.976923,8.692307,8.951923,8.205308,10846680
2010/7/26,9.01923,9.16923,8.976923,9.057692,8.302257,10738000
2010/7/27,9.042307,9.323076,9.040384,9.196153,8.429168,14218880
2010/7/28,9.151923,9.451923,9.067307,9.398076,8.614251,10849280
2010/7/29,9.351923,9.490384,9.19423,9.401923,8.617776,7268040
2010/7/30,9.309615,9.396153,9.201923,9.290384,8.515541,5781360
2010/8/2,9.3,9.480769,9.230769,9.384615,8.601912,6799520
2010/8/3,9.415384,9.607692,9.288461,9.3,8.524356,7076680
2010/8/4,9.3,9.509615,9.230769,9.421153,8.635405,8458320
2010/8/5,9.423076,9.64423,9.338461,9.538461,8.742929,8643960
2010/8/6,9.44423,9.615384,9.380769,9.538461,8.742929,7134400
2010/8/9,9.576923,9.576923,9.29423,9.403846,8.619538,11500840
2010/8/10,9.384615,9.384615,9.05,9.053846,8.298732,7005960
2010/8/11,9.051923,9.251923,8.94423,9.251923,8.480289,6951880
2010/8/12,9.153846,9.4,9.101923,9.255769,8.483814,6158880
2010/8/13,9.186538,9.571153,9.186538,9.530769,8.735879,9808760
2010/8/16,9.530769,9.709615,9.346153,9.653846,8.848689,8035040
2010/8/17,9.659615,9.976923,9.501923,9.801923,8.984416,12253800
2010/8/18,9.707692,10.01923,9.561538,9.876923,9.053161,22360000
2010/8/19,9.807692,9.865384,9.596153,9.634615,8.831061,10382320
2010/8/20,9.586538,10.096153,9.461538,9.801923,8.984416,11815440
2010/8/23,9.942307,10.086538,9.713461,10,9.165972,12513280
2010/8/24,10.188461,10.188461,9.798076,9.826923,9.007332,12058800
2010/8/25,9.634615,9.692307,9.423076,9.432692,8.64598,12068680
2010/8/26,9.471153,9.528846,9.230769,9.361538,8.58076,6561360
2010/8/27,9.305769,9.65,9.305769,9.55,8.753505,6252480
2010/8/30,9.576923,9.788461,9.45,9.757692,8.943874,8433880
2010/8/31,9.730769,9.867307,9.55,9.75,8.936824,10411960
2010/9/1,9.730769,10.023076,9.557692,9.846153,9.024958,12930320
2010/9/2,9.842307,10,9.75,9.863461,9.040821,7996040
2010/9/3,9.888461,10.85,9.811538,10.85,9.945082,24886160
2010/9/6,11.280769,11.284615,10.307692,10.588461,9.705355,22614280
2010/9/7,10.432692,10.765384,10.326923,10.461538,9.589019,10455640
2010/9/8,10.401923,10.903846,10.4,10.875,9.967996,10407800
2010/9/9,10.961538,11.923076,10.961538,11.525,10.563785,18726760
2010/9/10,11.64423,12.5,11.5,11.517307,10.556734,19819800
2010/9/13,11.5,12.25,11.267307,12.01923,11.016793,12414329
2010/9/14,11.976923,12,11.634615,11.809615,10.824661,5985408
2010/9/15,11.825,11.934615,10.903846,11.151923,10.221822,7731079
2010/9/16,11.151923,11.442307,11.038461,11.271153,10.331107,6139728
2010/9/17,11.355769,11.355769,10.746153,10.980769,10.064945,5311212
2010/9/20,11,11.273076,10.923076,11.105769,10.179519,4123038
